"code_commune","nom_etab_ar","nom_etab_fr","code_etab","cycle"
"4010709","م. تاجدة","E TAJDA","12788Z","Primaire"
"4010709","م. تكمي الجديد","E TIGUEMI EL JDID","12789A","Primaire"
"4010709","م. تيميلال","E TIMILAL","23589P","Primaire"
"4010709","م. عثمان بن عفان"," E OTMAN BNOU AFANE","26028R","Primaire"
"4010709","م. كم تارميكت","E COM TARMIGT","24856S","Primaire"
"4010709","م.م. تغرامت","S S TAGHRRAMTE","13158B","Primaire"
"4010709","م.م. تلمسلا","S S TALMASLA","13168M","Primaire"
"4010709","م.م. فينت","  S S FINT","13167L","Primaire"
"4010709","مدرسة درعة","ECOLE  DRAA ","27524S","Primaire"
"4010315","م.م. إحنداكن","S S IHANDOGUENE","13030M","Primaire"
"4010315","م.م. اسكا","S S ASSAKA","13021C","Primaire"
"4010315","م.م. اغيل نوبيان","S S IGHIL NOUBIANE","13018Z","Primaire"
"4010315","م.م. تلوات","S S TELOUETE","13016X","Primaire"
"4010315","م.م. عبد الله ابن ياسين","S S ABDELLAH IBN YASSINE","13025G","Primaire"
"4010315","م.م.أرك","S S ARGUE","13032P","Primaire"
"4010711","م.م أليغ نتركى","SS ALIGH N TARGA","13213L","Primaire"
"4010711","م.م امكشود","SS AMAKCHOUD","13209G","Primaire"
"4010711","م.م ايت علي او عيسى","SS AIT ALI OUAISSA","13210H","Primaire"
"4010711","م.م تفليت","SS TIFLITE","13207E","Primaire"
"4010711","م.م تندوت","SS TOUNDOUTE","13200X","Primaire"
"4010317","م.م. ازلاغ","S S AZALAKH","13061W","Primaire"
"4010317","م.م. تكاديرت","S S TAGUADIRT","13067C","Primaire"
"4010317","م.م. توغوت","S S TOUGHOUTE","13057S","Primaire"
"4010317","م.م.الصور","S S ESSOUR","13066B","Primaire"
"4010317","م.م.اماغودن","S S IMAGHODEN","13060V","Primaire"
"4010317","م.م.تشديرت","S S TACHDDIRTE","13072H","Primaire"
"4010309","م.م. انميد","S S ANMID","13131X","Primaire"
"4010309","م.م. ايت قالة","S S AIT KALLA","13133Z","Primaire"
"4010309","م.م. خزامة","S S KHZAMA","13126S","Primaire"
"4010309","م/م تورتيت","S S TOURTITE","13127T","Primaire"
"4010313","م.م. النقب ايت وغرضة","S S N KOB AIT WRGHARDA","13088A","Primaire"
"4010313","م.م. امغلاي","S S IMAGHLAY","13087Z","Primaire"
"4010313","م.م. انزال","S S ANZAL","13080S","Primaire"
"4010313","م.م. ايت تيكة","S S AIT TIGUA","13095H","Primaire"
"4010313","م.م. تمازيرت","S S TAMAZIRTE","13085X","Primaire"
"4010707","م. كم سكورة","E COM SKOURA","24014B","Primaire"
"4010707","م.سكورة","E SKOURA","12790B","Primaire"
"4010707","م.م امزاورو","SS AMZAOUROU","13179Z","Primaire"
"4010707","م.م.  تمسراوت","S S TAMASSRAOUTE","13189K","Primaire"
"4010707","م.م. الخامسة","S S EL KHAMSSA","12791C","Primaire"
"4010707","م.م. الزوية","S S ZOUIA","13196T","Primaire"
"4010707","م.م. امدري","S S IMADRI","13193P","Primaire"
"4010707","م.م. ايماسين","S S IMASSINE","13186G","Primaire"
"4010707","م.م. سيدي فلاح 1","S S SIDI FLAH 1","13187H","Primaire"
"4010707","م.م. ولاد يعقوب","S S OULED YAAKOUB","13182C","Primaire"
"4010701","م.م الحوانت","SS LAHOUANTE","13228C","Primaire"
"4010701","م.م امي نواسيف","SS IMI NOUASSIF","13233H","Primaire"
"4010701","م.م. ادلسان","SS GHESSATE","13217R","Primaire"
"4010107"," م اسماء","E ASSMA","12760U","Primaire"
"4010107"," م الخنساء"," E EL KHANSSA","12762W","Primaire"
"4010107"," م الشروق","E ACHOUROUK","25411V","Primaire"
"4010107"," م الفرابي"," E ELFARABI","25224S","Primaire"
"4010107"," م الوحدة","E AL WAHDA","19612S","Primaire"
"4010107","م السد المنصور","E ESSED ELMANSOUR","20294H","Primaire"
"4010107","م القدس"," E EL KODS","12768C","Primaire"
"4010107","م تصومعت","E TASSOUMAATE","12761V","Primaire"
"4010107","م تماسينت","E TAMASSINTE","12792D","Primaire"
"4010107","م توريرت","E TAOURIRTE","12767B","Primaire"
"4010107","م حي الاداري المسيرة","E HAY ELIDARI ELMASSIRA","23905H","Primaire"
"4010107","م علال بن عبد الله"," E ALLAL BEN ABD ALLAH","12764Y","Primaire"
"4010107","م فدراكوم","E FADRAGOUME","12793E","Primaire"
"4010107","م واد الذهب","E OUED EDDAHAB","12766A","Primaire"
"4010107","م. اسفوتليل","E ISFOUTALIL","13161E","Primaire"
"4010107","مدرسة الأطلس","ECOLE AL ATLAS","27089U","Primaire"
"4010107","مدرسة النهضة","ECOLE ENNAHDA","28977W","Primaire"
"4010107","مدرسة ايت كضيف","ECOLE AIT KDIF","27788D","Primaire"
"4010311","م.م. تاستيفت","  S S TASSATIFT","13123N","Primaire"
"4010311","م.م. تسليت","S S TISLITE","13104T","Primaire"
"4010311","م.م. تغدوت","S S TAGHDDOUTE","13099M","Primaire"
"4010311","م.م. تفونانت","S S TAFOUNANTE","13108X","Primaire"
"4010311","م.م. وينتجكال","S S OUINTEJGUAL","13103S","Primaire"
